rating,date,content,visit_time,reservation,wait_time,review_length,weekday,rating_zscore,wait_time_minutes,is_reserved,tfidf_ㅎㅎ,tfidf_가격,tfidf_가격이,tfidf_가득,tfidf_가면,tfidf_가서,tfidf_가성비,tfidf_갔는데,tfidf_같아요,tfidf_계속,tfidf_그냥,tfidf_그래도,tfidf_근데,tfidf_금방,tfidf_너무,tfidf_다들,tfidf_다른,tfidf_다시,tfidf_다양하고,tfidf_대기,tfidf_대전,tfidf_대전에,tfidf_대전의,tfidf_많고,tfidf_많아서,tfidf_많이,tfidf_말차튀소,tfidf_맛도,tfidf_맛이,tfidf_맛있고,tfidf_맛있네요,tfidf_맛있는,tfidf_맛있어요,tfidf_맛있음,tfidf_망고,tfidf_망고시루,tfidf_매장,tfidf_먹었어요,tfidf_명란바게트,tfidf_바로,tfidf_방문,tfidf_방문했어요,tfidf_본점,tfidf_본점은,tfidf_부추빵,tfidf_빠르게,tfidf_빨리,tfidf_빵도,tfidf_빵들이,tfidf_빵은,tfidf_빵을,tfidf_빵이,tfidf_사고,tfidf_사람,tfidf_사람이,tfidf_사서,tfidf_샀는데,tfidf_샌드위치,tfidf_생각보다,tfidf_성심당,tfidf_성심당은,tfidf_안에,tfidf_엄청,tfidf_없는,tfidf_없어서,tfidf_없이,tfidf_역시,tfidf_오랜만에,tfidf_오후,tfidf_웨이팅,tfidf_웨이팅이,tfidf_일찍,tfidf_입장,tfidf_있고,tfidf_있는,tfidf_있어,tfidf_있어서,tfidf_있어요,tfidf_잔뜩,tfidf_정말,tfidf_제일,tfidf_종류가,tfidf_종류도,tfidf_좋고,tfidf_좋아요,tfidf_좋아하는,tfidf_좋았어요,tfidf_좋은,tfidf_줄은,tfidf_줄이,tfidf_직원,tfidf_진짜,tfidf_처음,tfidf_최고,tfidf_크림이,tfidf_튀김소보로,tfidf_튀소,tfidf_평일,tfidf_하고,tfidf_해서
5.0,2026-07-22,요즘 인스타에서 난리난 초코바게트부터 말차튀소 고로케까지 모두 남아있었어요 평일 오후 6시쯤 왔더니 10분 웨이팅하고 입장 대기줄에 선풍기도 설치되어 있어 쾌적하게 기다리다가 들어갔어요 임산부분은 산모수첩 들고오시면 바로 입장 가능하세요 내부는 혼잡하지만 별도 줄이 없기 때문에 드시고 싶은것만 고르시고 나오시면 빨리 나올 수 있으세요 70년 역사가 숨쉬는 정통 베이커리 성지답게 동네빵집에서는 못보는 이색적인 빵이많아요 성심당이 처음이시라면 튀김소보로 튀소구마 작은메아리 카카오순정 명란바게트는 꼭 사보세요 오랫동안 베스트샐러인 메뉴는 이유가있더라고요 대전여행 오셨으면 성심당을 첫번째로 방문 추천드려요 오전은 사람도 적고 빵 종류도 많은데 주변 빵 냉장고 가게가 많아요 주차도 가능해요,저녁에 방문,예약 없이 이용,30분 이내,385,Wednesday,0.4335964598825432,20.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714731489104349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2205772852436565,0.25994858728108233,0.0,0.0,0.0,0.0,0.0,0.2976991136232339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2714731489104349,0.0,0.0,0.0,0.5517439845139248,0.0,0.0,0.28578785862700057,0.0,0.0,0.0,0.0,0.0,0.0,0.2758719922569624,0.0,0.0,0.0,0.0,0.0,0.0,0.22428831994528617,0.0,0.0,0.0,0.0,0.0,0.291445206117483,0.0,0.22428831994528617,0.0,0.0
5.0,2026-07-22,맛있어요,아침에 방문,예약 없이 이용,바로 입장,4,Wednesday,0.4335964598825432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2026-07-21,말차튀소 맛있어요,점심에 방문,예약 없이 이용,10분 이내,9,Tuesday,-0.9461545753986489,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8471370178756694,0.0,0.0,0.0,0.0,0.0,0.5313745128858909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,2026-07-21,샌드위치 정거장 직원분께 직원분께 빵 나오는것에 대해 반복 물었는데 다 들으셨으면서 잠깐만요 하고 직원들끼리 일 관련 말만 하고 결국엔 저한텐 대답을 안해요다시 가서 또 물어서 대답 들었지만 정말 불친절서울인데 요즘 빵 맛있는곳 천지라 이렇게 와서 굳이 ㅠ보통 먼길 와서 줄 서서 사는데 친절하진 않더라도 묻는 말에 대답은 해줬으면 합니다샌드위치정거장 영수증이 없어져서 여기에 남기네요,점심에 방문,예약 없이 이용,바로 입장,215,Tuesday,-5.775283198882821,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3929259688473677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36234743733086316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31104702166480164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7858519376947354,0.0
5.0,2026-07-21,이 사진은 크리미튀소 원픽은 김치찹쌀주먹밥 2500 사진 없다 마구마구 먹어서 사진 없네,점심에 방문,예약 없이 이용,10분 이내,49,Tuesday,0.4335964598825432,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-07-21,시루때매 오히려 본점이 줄이 텅텅이라 이건 좋네요,아침에 방문,예약 없이 이용,바로 입장,27,Tuesday,0.4335964598825432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-07-21,평일아침에 오픈시간맞춰갔더니 웨이팅 없었어요,아침에 방문,예약 없이 이용,바로 입장,24,Tuesday,0.4335964598825432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-07-20,운좋게 웨이팅 없이 바로입장할수있었어요 빵 역시 맛있었습니다,저녁에 방문,예약 없이 이용,바로 입장,33,Monday,0.4335964598825432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551730564541081,0.5278389658363184,0.0,0.0,0.5404944886318713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-07-20,말해 뭐해 맛과 가격 모두 완벽한 대한민국 갓성비 탑 성심당 대전 오면 무조건 들러야 하는 명불허전 성심당입니다 요즘 같은 물가에 이 정도 퀄리티의 빵을 이 가격에 만날 수 있다는 게 그저 감사할 따름이에요 시그니처인 튀김소보로와 부추빵은 변함없이 바삭하고 고소해서 손이 계속 가고 계절마다 나오는 과일 시루 시리즈나 촉촉한 명란바게트까지 어느 것 하나 빠지는 메뉴가 없습니다 제품 종류가 워낙 다채로워 취향껏 고르는 재미가 있고 매장 회전율이 빨라 갓 나온 따끈한 빵을 바로 맛볼 수 있는 점도 대만족입니다 푸짐하게 담아도 부담 없는 가격 덕분에 나올 때는 늘 양손 가득 행복해지네요 맛 친절 갓성비까지 모든 것이 완벽해 언제 방문해도 기분 좋은 대전 최고의 명소입니다,점심에 방문,예약 없이 이용,10분 이내,375,Monday,0.4335964598825432,5.0,0,0.0,0.4951354806876968,0.0,0.24236696654686066,0.0,0.0,0.0,0.0,0.0,0.22941622135176418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529380981272197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24236696654686066,0.0,0.0,0.1834329280135642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3762752003648561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11613788812155808,0.0,0.0,0.0,0.23766229437799682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24236696654686066,0.22235252093907584,0.0,0.0,0.0,0.0,0.0,0.0,0.21916679004612263,0.0,0.0,0.0,0.0,0.0,0.24236696654686066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,2026-07-20,월요일 11시쯤에 대기 없이 들어왔습니다 롤은 종류별로 하나씩 구매 가능 했고안냥크레페 케이크 구매했습니다 복잡한 와중에도 직원분들 친절해주셨어요,점심에 방문,예약 없이 이용,바로 입장,81,Monday,0.4335964598825432,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7439787998365267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6682032216278228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
