별점,날짜,리뷰
1.0,2026.07.18.,성수동 놀러온 외국 여행객이 이거 먹고 한국 감자탕 맛이 이럴거라 생각할까봐 정말 안타깝다.
2.0,2026.06.19.,"이번에 방문했을때 맛이 다름
고기가 개퍽퍽하고 으 제 입맛엔 좀
2024년도랑 현재 비교해보..."
3.0,2026.06.15.,"그냥감자탕....
고기는크고국물맛있
김치보단깍두기..."
1.0,2026.06.10.,"WORST FOOD EXPERIENCE I HAVE EVER HAD  
(PLEASE DON'T GO IT'S NOT EVEN WORTH 1,000 WON)
At first, I expected the food to be delicious because there is always a long..."
2.0,2026.05.31.,"슴슴한 맛
ㅍㅎㅌㅊ"
2.0,2026.05.31.,"고기는 부드럽고 나쁘지 않았으나 반찬 재사용해서 별로임
오이에 고춧가루 붙어있음"
1.0,2026.05.28.,"성수 주민으로 가끔이용하던 가게인데요

전에 먹었을땐 고기가 괜찮았었는데 이번엔 먹으면서도 고기 상태가 예전과 다르..."
4.0,2026.05.25.,웨이팅 없어서 들어가봤는데 살코기가 부드럽고 음식이 빨리 나와서 좋았음!! 그냥 평범한 감자탕임… 당연히 맛없없 시래기나 위생 생각하면 일반 동네 감자탕집이 더 나은듯
3.0,2026.05.16.,"양 대비 가격 괜찮은듯
맛집정도로 맛있진 않음 평범무난
직원분들 친절하심"
4.0,2026.05.13.,"생각보다 웨이팅이 빨리 빠짐.
맛은 무난합니다! 굳이 이거먹으려고 멀리서 찾아올 정돈 절대 아님"
4.0,2026.05.02.,"맛있는 감자탕 부류이긴 하지만… (살코기가 매우 부드럽)
웨이팅 긴 것 대비 엄청나게 무언가 특별한 다른 밋이 있는 것은 아니었음.
한번 가봤으니 충분…"
1.0,2026.04.07.,"아..인별에서 맛집이러고 떳길래 감자탕 땡겨서 갔는데
웨이팅 20~30분 정도 후에 들어감

감칠맛나고 깊은 국..."
4.0,2026.04.05.,"팩트체크
“ 성수에서 보장된 감자탕 맛집을 찾는다면 ”

꽤나 유명한 곳입니다. 창업 시점부터 계산해 보니 대략 50년 가까이 ..."
1.0,2026.03.20.,"위생이 너무..

내가 먹은 감자탕 중에 제일 별..."
3.0,2026.03.13.,고기가 야들야들하니 맛있어요!
5.0,2026.03.07.,소문난감자🥔
4.0,2026.03.02.,"아구힘 센 분이라면 뼈해장국 추천. 저는 뜯다가 국물이 좀 식었는데 음식이 식으면서 누린내가 꽤 났습니다.
우거지도 많이 주문하시던데 우거..."
4.0,2026.02.21.,"!! 인원별로 주문해야합니다 !!
4인이서 가서 대자 (49000원)로 시켰어요
사람이 많아서 그런가 직원분들이 조금 불친절 하셔서 1점 뺐어요 ㅠ ..."
2.0,2026.02.07.,"소문난 걸로 소문난 곳,, 평일낮에 웨이팅 없이 들어가서 2점 주는거지 웨이팅하고 들어갔으면 1점줬을듯"
2.0,2026.02.02.,"그냥 관광명소가 된 느낌… 외국인, 내국인할거 없이 사람도 엄청 많아서 시끄럽고 정신없어요
맛은 슴슴한데.. 내가 아는 그 감칠맛나고 진한 그런 감자탕맛이 아니라서 실망💦"
1.0,2026.01.27.,별로입니다
3.0,2026.01.20.,생각보다 웨이팅도 빨리 빠지고 맛 괜찮아용
1.0,2026.01.10.,"저희 웨이팅 하고 들어갔는데, 먹는 중에 쫓겨났어요
계속 뭐 더 시킬거냐고 물어보길래 수제비도 먹고 잘 먹고 있는데 결국에 좀 반찬 정리 도와줄까요? 라규 해서 찬만 정리..."
5.0,2026.01.06.,직원분들 너무 친절하시고 유명한만큼 너무 맛있었어요
4.0,2026.01.04.,1/1 공휴일 저녁 10시쯤 방문했는데 사람 많았어요. 다행히 사람 빠져서 바로 별관으로 안내 받았음!...
