rating,date,content,visit_time,reservation,wait_time
5,2026년 7월 22일 수요일,"요즘 인스타에서 난리난 초코바게트부터 말차튀소, 고로케까지 모두 남아있었어요🥖평일 오후 6시쯤 왔더니 10분 웨이팅하고 입장 대기줄에 선풍기도 설치되어 있어 쾌적하게 기다리다가 들어갔어요🥹임산부분은 산모수첩 들고오시면 바로 입장 가능하세요👍🏻 내부는 혼잡하지만 별도 줄이 없기 때문에 드시고 싶은것만 고르시고 나오시면 빨리 나올 수 있으세요🩷70년 역사가 숨쉬는 정통 베이커리 성지답게 동네빵집에서는 못보는 이색적인 빵이많아요💕성심당이 처음이시라면 튀김소보로, 튀소구마,작은메아리, 카카오순정, 명란바게트는 꼭 사보세요🔥오랫동안 베스트샐러인 메뉴는 이유가있더라고요😊대전여행 오셨으면 성심당을 첫번째로 방문 추천드려요‼️오전은 사람도 적고 빵 종류도 많은데 주변 빵 냉장고 가게가 많아요 주차도 가능해요🚙",저녁에 방문,예약 없이 이용,30분 이내
5,2026년 7월 22일 수요일,맛있어요,아침에 방문,예약 없이 이용,바로 입장
4,2026년 7월 21일 화요일,말차튀소 맛있어요,점심에 방문,예약 없이 이용,10분 이내
0.5,2026년 7월 21일 화요일,샌드위치 정거장 직원분께 직원분께 빵 나오는것에 대해 반복 물었는데 다 들으셨으면서 잠깐만요 하고 직원들끼리 일 관련 말만 하고 결국엔 저한텐 대답을 안해요다시 가서 또 물어서 대답 들었지만 정말 불친절서울인데 요즘 빵 맛있는곳 천지라 이렇게 와서 굳이 ㅠ보통 먼길 와서 줄 서서 사는데 친절하진 않더라도 묻는 말에 대답은 해줬으면 합니다샌드위치정거장 영수증이 없어져서 여기에 남기네요,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 21일 화요일,이 사진은 크리미튀소.원픽은...김치찹쌀주먹밥 2500..사진...없다.마구마구~먹어서 사진 없네.,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 21일 화요일,시루때매 오히려 본점이 줄이 텅텅이라 이건 좋네요,아침에 방문,예약 없이 이용,바로 입장
5,2026년 7월 21일 화요일,평일아침에 오픈시간맞춰갔더니 웨이팅 없었어요,아침에 방문,예약 없이 이용,바로 입장
5,2026년 7월 20일 월요일,운좋게 웨이팅 없이 바로입장할수있었어요~ 빵 역시 맛있었습니다.,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 20일 월요일,굿,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 20일 월요일,"말해 뭐해, 맛과 가격 모두 완벽한 대한민국 갓성비 탑 성심당!🎂​대전 오면 무조건 들러야 하는 명불허전 성심당입니다. 요즘 같은 물가에 이 정도 퀄리티의 빵을 이 가격에 만날 수 있다는 게 그저 감사할 따름이에요. 시그니처인 튀김소보로와 부추빵은 변함없이 바삭하고 고소해서 손이 계속 가고, 계절마다 나오는 과일 시루 시리즈나 촉촉한 명란바게트까지 어느 것 하나 빠지는 메뉴가 없습니다. 제품 종류가 워낙 다채로워 취향껏 고르는 재미가 있고, 매장 회전율이 빨라 갓 나온 따끈한 빵을 바로 맛볼 수 있는 점도 대만족입니다~😊 푸짐하게 담아도 부담 없는 가격 덕분에 나올 때는 늘 양손 가득 행복해지네요. 맛, 친절, 갓성비까지 모든 것이 완벽해 언제 방문해도 기분 좋은 대전 최고의 명소입니다!👍🍞",점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 20일 월요일,월요일 11시쯤에 대기 없이 들어왔습니다 :)롤은 종류별로 하나씩 구매 가능 했고안냥크레페 케이크 구매했습니다 :)복잡한 와중에도 직원분들 친절해주셨어요,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 19일 일요일,전국최고의 빵집👍👍,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 19일 일요일,"대한민국 샌드위치 1등이 대전 성심당 샌드위치정거장 아닐까.맛, 모양, 가격까지 어느 것 하나 나무랄데가 없는 곳!처음 먹는 사람은 있어도 한번만 먹는 사람은 없을 것 같다.",점심에 방문,예약 없이 이용,바로 입장
4,2026년 7월 19일 일요일,굿굿,점심에 방문,예약 없이 이용,30분 이내
5,2026년 7월 19일 일요일,진짜진짜 오랜만에 노잼도시 대전에 갔는데이미 성심당 하나로도 유잼이라는 ㅋㅋㅋ튀소랑 프렌치파이랑 요거저거 많이 사왔어요 ㅋㅋ,점심에 방문,예약 없이 이용,10분 이내
4.5,2026년 7월 19일 일요일,유일하게  줄서는게 아깝지 않은곳,점심에 방문,예약 없이 이용,10분 이내
5,2026년 7월 19일 일요일,7월19일 일요일 방문. 웨이팅 시간 5분??!! 오늘 왜 줄이 없지? 오전에 방문해서 그런가? 비가 온다고 해서 그런가? 더울까봐 그런건가? 오늘 비도 안오고 날씨도 선선하고 좋은데 오늘 눈치게임을 잘한 것같다는 느낌이 들었다.,점심에 방문,예약 없이 이용,10분 이내
4,2026년 7월 19일 일요일,주말에도 빵집은 오전에 가면 줄이 안길어요대신 케익부띠끄는 좀 힘드네요..ㅋㅋ,아침에 방문,예약 없이 이용,10분 이내
5,2026년 7월 18일 토요일,아주좋아요 만족합니다,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 18일 토요일,아주좋아요 만족합니다,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 18일 토요일,웨이팅 없이 바로 구매할수있어서 샌드위치 정거장 가기 좋습니다.루꼴라들어간제품이 좋아요 ~,저녁에 방문,예약 없이 이용,바로 입장
5,2026년 7월 18일 토요일,명불허전,점심에 방문,예약 없이 이용,10분 이내
3,2026년 7월 18일 토요일,빵은  맛있는대  기다리기  너무  힘드네요처음  대전  투어  해봤네요,점심에 방문,,30분 이상
5,2026년 7월 17일 금요일,성심당 본점 갈때마다 줄이 넘 길지만 케익부띠끄 최고 롤 너무 맛나여 ㅠ,저녁에 방문,예약 없이 이용,30분 이상
4,2026년 7월 17일 금요일,"대전의 최고 명물ㅡ빵도,기업마인드도 좋은 대표 빵집ᆢ친구는 웨이팅하고,나는 넘더워서 옆 성심당 문화원에서 달달구리 망고 스무디 한잔ㅋㅋ굿즈들도 많고 잠깐 쉬어갈수 있어 좋아요^~",점심에 방문,예약 없이 이용,30분 이내
4,2026년 7월 17일 금요일,성심당 본점은 줄이 정말 길어서 샌드위치 먹었어요. 샌드위치는 바로 입장할 수 있었고 순환도 빠른편이었는데 생각보다 종류가 많지 않았습니다. 성심당문화원에서 시식할 수 있어서 샌드위치 먹었는데 자리 잡기가 쉽지 않았어요. 블루베리 시루 나오는 날이라 기대하고 갔었는데 구경도 못 하고 왔지만 샌드위치 맛있었어요. 성심당 70주년 축하합니다.,점심에 방문,예약 없이 이용,바로 입장
5,2026년 7월 17일 금요일,"긴 기다림도 아깝지 않은착한 가격과  질리지 않는 빵맛.성심당을 가기위해 기꺼이대전을 가게 만든다.* 더자세한 사진과 내용은 네이버 블로그""까칠한 미식가""를 참고해 주세요.",점심에 방문,,
4.5,2026년 7월 17일 금요일,든든한 샌드위치로 브런치 즐기기え占좋ØГ(♥ω♥ ) ~♪,아침에 방문,예약 없이 이용,바로 입장
4,2026년 7월 17일 금요일,내돈내산줄 짱기는데 직원들이 컨트롤 잘해줌.근데 너무 바빠서 서로 직원 손님이 혼선은 아쉽네여.그래도.. 명소이니.어쩔수 없죠,아침에 방문,,30분 이내
3,2026년 7월 16일 목요일,굿,저녁에 방문,,
5,2026년 7월 16일 목요일,맛잇는 성심당,저녁에 방문,,
4.5,2026년 7월 16일 목요일,튀소 그리고 고로케 맛잇어요,저녁에 방문,예약 없이 이용,30분 이상
5,2026년 7월 16일 목요일,역시 대전 대표 맛집 성심당. 롤케익은 말할 것도 없거니와 시루같은 케익도 전부 일품입니다. 단 거 싫어하는 사람이 먹어도 맛있다라는 소리가 절로 나오는 곳. 무조건  방문하세요,점심에 방문,예약 없이 이용,30분 이내
4,2026년 7월 16일 목요일,"평일에도 낮엔 10-15분정도 웨이팅있어요내부는 엄청 정신없어서 미리 살 거 생각하고 가는게 좋습니다. 집개가 여기저기서 들어옴ㅎ,,본점은 밤 8시에도 빵이 나와서 밤 늦게 가는 것도 방법입니다.오전 밤 오후 이렇게 가봤는데오전에 사람이 많았어요.튀소 후렌치파이 넘 맛있게 먹었습니다.",점심에 방문,예약 없이 이용,10분 이내
