별점,날짜,리뷰
5.0,2026.07.01.,"6월 9일 이른 낮 기준 (본점, 케익부띠끄 두곳 다)

웨이팅 : 밖에서 웨이팅 10분도 안 했어요 사람이 생각보다 빨리 빨리 줄어들더라고요 계산 웨이팅도 조금밖에 안 했어..."
5.0,2026.06.28.,"🥯성심당만 100번이상 간사람의 꿀팁방출❤️

✔️웨이팅 평일에도 꾸준히 있음. 연말연초라 평균 평일1시간, 주말1시간30분 웨이팅
✔️5/10 기준 주말오전 웨이팅 40분..."
5.0,2026.06.17.,"사람 너무 많아서 현기증남
빵 전반적으로 가성비 죽이고 실..."
5.0,2026.05.28.,"줄은 진짜 너무 길지만ㅠㅠㅠ (연휴에 가서)
명란 안 좋아하는데 명란 바게트 진짜 맛있거 튀손
스테디하게 먹기 좋고 순수롤 맛있아..."
5.0,2026.05.06.,온누리도되고 너무 좋아요
5.0,2026.05.05.,"와...왜? 성심당 성심당 하는지 알겠더라구요..ㅅ.ㅅ
기다리는 줄이 너무 너무 길기는 해도 줄이 빠르게 빠르게 빠져서...기다릴만해요..."
5.0,2026.04.24.,"밤늦게 가서 빵이 별로 없었지만 가격이 저렴하고 맛있다.
튀김소보로가 진짜 맛있었다.
매일 가고 싶은 곳!"
5.0,2026.04.17.,"맛, 가성비 모두 뛰어남!
그 중 최고는 무화과 파이, 초코바게트, 김치볶음밥, 무화과깜빠뉴, 안녕크레페 ㅠㅠㅠ"
5.0,2026.04.16.,"성심당 때문에 대전 방문,,
빵이 진짜 저렴하긴함...
그리고 튀김소보로 유명한 이유 알..."
5.0,2026.04.13.,말해모해... 성심당 최고❤️
3.0,2026.04.02.,튀김소보로 4종 순수롤 샌드위치 외5종류 먹어봤는데 기대가컸던가 그냥 저냥 그렇다면 싼가? 다들 가성비 가성비하던데 얼마나 비싼빵 드시길래 동네 가성비빵 맛과 가격면에서 이정돈 흔할껀데  별로였음 튀김소보로 기름냄새 역했음
5.0,2026.03.28.,"순 크림빵 꼭 드셔보세요 진짜 대존맛🤤
빵도 많이 담았다 생각했는데 얼마 안나왔어요..!!"
5.0,2026.03.27.,"말차 너무 맛있어용
말차튀소 진짜 맛있는데 한개만 사서 아숩ㅠ ㅠ"
5.0,2026.03.09.,"주말에 웨이팅 오전에 대략 1시간기다림.
가성비 매우 훌륭함.. 이게 한국의 빵값 평균이했음. 맛 중상. 크기 좋음.
튀소류들 맛좋아요."
5.0,2026.03.08.,"5.0점

토요일 2시방문 50분 웨이팅하고 들어갔어요..."
5.0,2026.03.01.,애용
5.0,2026.02.23.,대전 분들 부럽습니다
4.0,2026.02.15.,빵값진짜착하당
5.0,2026.02.15.,평가 불가. 신의 영역.
3.0,2026.02.04.,"평일인데 지하 주차장까지 가서 한 30분 정도 줄 섰네요. 솔직히 길게 대기하면서까지 먹을 맛은 아니나, 워낙 가성비 면에서 압도적이라 대전 가면 겸사겸사 들르게 되는 것 같아요. 개인적으로 저는 다음에 대전 방문하게 되면 성심당은 케익부띠끄 정도만 갈 것 같습니다."
5.0,2026.02.02.,딸기의 계절이 왔슴돠!!!🍓
4.0,2026.01.30.,"튀김소보로, 딸기소보로 맛있어요.
초코소보로는 너무 달아요..
고로케랑 ..."
4.0,2026.01.22.,"딸기시루 왜 먹는지 알겠음.. 이 가격에 딸기를 이렇게까지 폭력적으로 넣을 수가 있나?… 🧐🧐
사먹는 길에 뭐 연설하시는 분 계시던데 진심 줄 서는 것도 힘 빠지는데 계속 큰 소리로 말씀하셔서 머리에 울렸음 ㅠ...."
5.0,2026.01.21.,"아이러브성심당 성심당 사랑해요 앞으로도 존재해주시길 나비파이 소세지페스츄리 
⭐⭐️⭐️치즈퐁듀⭐️⭐️⭐️"
4.0,2026.01.15.,"빵 맛있고 가성비굿
근데 넘 도떼기 시장이라 머리 아파요....
손님 넘 많아서 직원들도 썽이 많이 나있음...
김치찹..."
5.0,2026.01.03.,"그저 갓
블루베리파이!!!먹어주세요!!!진짜 숨은
맛빵인데ㅠ ..."
5.0,2025.12.19.,"대전 첫방문..! 
대전의 명물 성심당 처음 와봤어요!
살면서 지인들이 선물로는 많이 받아봤는데 
방문은 처음 했고, 생각보다 저렴하더라..."
